loan_id,account_id,loan_type,principal,interest_rate,term_months,monthly_payment,outstanding,start_date,end_date,status
LOAN000001,ACC00000288,personal,5823.56,14.71,60,137.66,5726.5,2022-01-16,2026-12-21,active
LOAN000002,ACC00000622,auto,21208.35,9.84,48,536.27,19440.99,2025-12-13,2029-11-22,active
LOAN000003,ACC00000232,business,477320.01,9.42,36,15272.12,437543.34,2020-10-03,2023-09-18,active
LOAN000004,ACC00000189,mortgage,760521.9,9.56,360,6428.2,633768.25,2025-07-29,2055-02-22,active
LOAN000005,ACC00000042,mortgage,551768.16,10.25,180,6014.0,236034.16,2023-05-20,2038-03-02,active
LOAN000006,ACC00000377,business,83771.91,7.22,12,7257.01,55847.94,2023-01-22,2024-01-17,active
LOAN000007,ACC00000257,auto,75846.13,14.95,60,1802.38,45507.68,2021-09-10,2026-08-15,active
LOAN000008,ACC00000084,business,367695.51,4.98,60,6935.5,128693.43,2022-06-08,2027-05-13,paid_off
LOAN000009,ACC00000715,auto,43199.01,3.95,48,974.43,20699.53,2022-08-17,2026-07-27,active
LOAN000010,ACC00000215,auto,76686.84,8.1,60,1558.61,52402.67,2024-05-02,2029-04-06,paid_off
LOAN000011,ACC00000286,business,181912.88,7.89,36,5691.26,146540.93,2021-11-21,2024-11-05,active
LOAN000012,ACC00000741,mortgage,688945.0,5.34,180,5570.93,432504.36,2023-05-10,2038-02-20,active
LOAN000013,ACC00000585,mortgage,206453.71,8.58,240,1802.12,201292.37,2025-01-17,2044-10-04,active
LOAN000014,ACC00000084,business,409916.72,10.22,36,13269.24,261891.24,2023-04-21,2026-04-05,paid_off
LOAN000015,ACC00000641,auto,16983.3,9.84,36,546.73,14624.51,2021-09-22,2024-09-06,active
LOAN000016,ACC00000015,mortgage,310943.8,7.19,180,2827.98,198658.54,2024-07-12,2039-04-25,active
LOAN000017,ACC00000155,auto,74744.62,14.15,36,2560.04,56058.46,2022-01-14,2024-12-29,active
LOAN000018,ACC00000118,mortgage,995780.71,7.27,360,6806.49,995780.71,2020-01-10,2049-08-05,active
LOAN000019,ACC00000362,auto,78066.45,5.36,60,1486.12,19516.61,2024-05-08,2029-04-12,paid_off
