transaction_id,account_id,amount,currency,transaction_type,error_code,error_message,attempted_date,merchant
FTXN0000001,ACC00000528,946.29,USD,debit,E003,Invalid PIN,2025-03-04,Costco
FTXN0000002,ACC00000775,200.83,USD,debit,E004,Expired card,2026-03-22,Gas Station
FTXN0000003,ACC00000510,1516.25,USD,debit,E001,Insufficient funds,2025-01-08,Target
FTXN0000004,ACC00000709,1692.16,USD,debit,E003,Invalid PIN,2026-01-02,Costco
FTXN0000005,ACC00000123,519.57,USD,debit,E004,Expired card,2026-04-30,Walmart
FTXN0000006,ACC00000258,1522.52,USD,debit,E005,Fraud suspected,2026-07-31,Costco
FTXN0000007,ACC00000547,587.52,USD,debit,E004,Expired card,2025-10-23,Best Buy
FTXN0000008,ACC00000740,1567.72,USD,debit,E005,Fraud suspected,2026-05-27,Restaurant
FTXN0000009,ACC00000100,413.01,USD,debit,E003,Invalid PIN,2026-08-28,Target
FTXN0000010,ACC00000475,1260.55,USD,debit,E002,Card declined,2026-04-12,Walmart
FTXN0000011,ACC00000506,850.24,USD,debit,E002,Card declined,2025-01-10,Walmart
FTXN0000012,ACC00000504,786.0,USD,debit,E002,Card declined,2025-01-18,Gas Station
FTXN0000013,ACC00000672,55.36,USD,debit,E005,Fraud suspected,2025-07-31,Target
FTXN0000014,ACC00000093,1678.12,USD,debit,E002,Card declined,2025-10-10,Restaurant
FTXN0000015,ACC00000323,1536.26,USD,debit,E002,Card declined,2026-04-11,Amazon
FTXN0000016,ACC00000495,57.49,USD,debit,E002,Card declined,2026-01-03,Amazon
FTXN0000017,ACC00000361,619.94,USD,debit,E005,Fraud suspected,2026-11-28,Amazon
FTXN0000018,ACC00000669,1500.01,USD,debit,E004,Expired card,2025-10-04,Costco
FTXN0000019,ACC00000716,509.51,USD,debit,E003,Invalid PIN,2025-04-15,Target
FTXN0000020,ACC00000474,919.25,USD,debit,E001,Insufficient funds,2026-05-29,Amazon
FTXN0000021,ACC00000663,1813.09,USD,debit,E003,Invalid PIN,2026-04-16,Target
FTXN0000022,ACC00000622,1606.55,USD,debit,E003,Invalid PIN,2026-04-01,Gas Station
FTXN0000023,ACC00000325,818.76,USD,debit,E003,Invalid PIN,2025-01-15,Best Buy
FTXN0000024,ACC00000312,1892.7,USD,debit,E005,Fraud suspected,2026-09-20,Target
FTXN0000025,ACC00000756,256.98,USD,debit,E002,Card declined,2026-05-05,Amazon
FTXN0000026,ACC00000526,840.9,USD,debit,E005,Fraud suspected,2026-09-10,Walmart
FTXN0000027,ACC00000071,783.48,USD,debit,E005,Fraud suspected,2025-02-19,Walmart
FTXN0000028,ACC00000509,462.74,USD,debit,E004,Expired card,2025-05-13,Costco
FTXN0000029,ACC00000524,1092.01,USD,debit,E003,Invalid PIN,2026-10-17,Amazon
FTXN0000030,ACC00000184,1472.05,USD,debit,E003,Invalid PIN,2025-04-04,Best Buy
FTXN0000031,ACC00000290,180.89,USD,debit,E002,Card declined,2026-03-29,Gas Station
FTXN0000032,ACC00000365,1209.42,USD,debit,E004,Expired card,2025-07-10,Gas Station
FTXN0000033,ACC00000550,1832.5,USD,debit,E001,Insufficient funds,2026-03-28,Amazon
FTXN0000034,ACC00000225,25.61,USD,debit,E001,Insufficient funds,2026-08-07,Amazon
FTXN0000035,ACC00000417,1811.06,USD,debit,E001,Insufficient funds,2025-10-10,Amazon
FTXN0000036,ACC00000210,646.72,USD,debit,E005,Fraud suspected,2026-11-23,Walmart
FTXN0000037,ACC00000553,1656.37,USD,debit,E004,Expired card,2026-04-27,Restaurant
FTXN0000038,ACC00000753,1057.21,USD,debit,E004,Expired card,2025-01-04,Restaurant
FTXN0000039,ACC00000711,994.33,USD,debit,E004,Expired card,2026-06-30,Restaurant
FTXN0000040,ACC00000277,739.27,USD,debit,E001,Insufficient funds,2025-01-01,Best Buy
FTXN0000041,ACC00000103,1929.71,USD,debit,E001,Insufficient funds,2025-10-28,Amazon
FTXN0000042,ACC00000132,1298.67,USD,debit,E001,Insufficient funds,2026-01-05,Amazon
FTXN0000043,ACC00000226,598.87,USD,debit,E005,Fraud suspected,2026-03-10,Walmart
FTXN0000044,ACC00000558,654.49,USD,debit,E001,Insufficient funds,2026-01-17,Restaurant
FTXN0000045,ACC00000783,1182.04,USD,debit,E001,Insufficient funds,2026-06-08,Best Buy
FTXN0000046,ACC00000411,1146.57,USD,debit,E003,Invalid PIN,2026-03-22,Target
FTXN0000047,ACC00000648,221.48,USD,debit,E002,Card declined,2026-03-27,Costco
FTXN0000048,ACC00000688,872.46,USD,debit,E003,Invalid PIN,2025-11-15,Gas Station
FTXN0000049,ACC00000336,734.72,USD,debit,E002,Card declined,2025-04-13,Amazon
FTXN0000050,ACC00000029,1898.91,USD,debit,E001,Insufficient funds,2025-12-16,Amazon
