investment_id,account_id,asset_type,symbol,quantity,purchase_price,current_price,current_value,purchase_date
INV000001,ACC00000576,mutual_fund,MSFT,466.1,310.22,462.73,215678.45,2025-06-16
INV000002,ACC00000341,stock,QQQ,439.91,445.74,487.32,214376.94,2024-06-23
INV000003,ACC00000508,etf,IWM,390.75,467.87,427.22,166936.21,2021-04-28
INV000004,ACC00000365,stock,FXAIX,219.53,269.05,332.84,73068.37,2023-09-16
INV000005,ACC00000303,stock,GOOGL,65.88,347.12,321.25,21163.95,2022-07-16
INV000006,ACC00000673,etf,SPY,229.51,471.03,336.88,77317.33,2021-06-11
INV000007,ACC00000369,stock,TLT,285.65,101.84,81.82,23371.88,2020-06-29
INV000008,ACC00000380,etf,VFIAX,411.19,242.81,217.08,89261.13,2023-02-24
INV000009,ACC00000708,etf,AAPL,195.13,101.7,113.48,22143.35,2024-02-03
INV000010,ACC00000156,mutual_fund,MSFT,7.37,311.39,346.03,2550.24,2021-07-09
INV000011,ACC00000549,bond,AGG,222.42,80.13,111.42,24782.04,2020-06-19
INV000012,ACC00000189,mutual_fund,SPY,85.64,99.51,93.64,8019.33,2025-05-03
INV000013,ACC00000289,stock,AGG,324.43,366.87,363.25,117849.2,2022-12-10
INV000014,ACC00000658,mutual_fund,AGG,58.33,67.66,91.04,5310.36,2023-09-09
INV000015,ACC00000430,mutual_fund,AAPL,120.07,296.0,221.18,26557.08,2021-08-11
INV000016,ACC00000673,mutual_fund,VFIAX,499.12,373.36,353.23,176304.16,2025-03-21
INV000017,ACC00000732,mutual_fund,MSFT,225.01,465.83,687.89,154782.13,2022-12-03
INV000018,ACC00000390,bond,BND,200.94,379.88,544.78,109468.09,2024-03-26
INV000019,ACC00000538,etf,TLT,362.21,240.3,174.2,63096.98,2020-10-16
INV000020,ACC00000568,bond,FXAIX,483.75,444.35,356.63,172519.76,2023-12-29
INV000021,ACC00000483,bond,JNJ,305.87,307.45,449.95,137626.21,2025-10-13
INV000022,ACC00000625,etf,BND,40.44,175.85,132.36,5352.64,2025-05-25
INV000023,ACC00000703,bond,V,361.64,431.81,472.67,170936.38,2023-12-12
INV000024,ACC00000069,mutual_fund,QQQ,118.99,94.65,78.28,9314.54,2022-06-26
INV000025,ACC00000213,mutual_fund,META,281.6,287.61,211.52,59564.03,2024-12-07
INV000026,ACC00000180,etf,JPM,244.68,179.25,157.72,38590.93,2024-07-12
