branch_id,branch_name,address,city,state,postal_code,phone,hours,services
BR001,San Diego Branch 1,9824 Main Street,San Diego,CA,20898,+1-725-936-7013,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR002,Detroit Branch 2,9036 Main Street,Detroit,MI,56068,+1-254-159-1259,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR003,Portland Branch 3,2264 Main Street,Portland,OR,42485,+1-518-591-5824,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR004,Houston Branch 4,1658 Main Street,Houston,TX,23185,+1-745-437-4256,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR005,London Branch 5,7456 Main Street,London,LDN,48636,+1-492-574-4477,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR006,Chicago Branch 6,5508 Main Street,Chicago,IL,21539,+1-878-291-4656,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR007,Los Angeles Branch 7,5665 Main Street,Los Angeles,CA,40285,+1-766-877-4444,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR008,Seattle Branch 8,7425 Main Street,Seattle,WA,34797,+1-567-322-3101,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR009,Philadelphia Branch 9,2326 Main Street,Philadelphia,PA,81730,+1-282-563-4529,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR010,London Branch 10,5436 Main Street,London,LDN,82541,+1-980-839-6694,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR011,New York Branch 11,3319 Main Street,New York,NY,83078,+1-623-423-7906,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR012,Jacksonville Branch 12,8983 Main Street,Jacksonville,FL,35543,+1-627-737-8943,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR013,Denver Branch 13,1635 Main Street,Denver,CO,84915,+1-324-583-9637,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR014,Dallas Branch 14,6842 Main Street,Dallas,TX,18806,+1-422-335-3476,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR015,Jacksonville Branch 15,5399 Main Street,Jacksonville,FL,28198,+1-224-175-3770,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR016,Los Angelas Branch 16,2691 Main Street,Los Angelas,IST,97030,+1-582-411-3200,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR017,Fort Worth Branch 17,8573 Main Street,Fort Worth,TX,52484,+1-844-361-1129,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR018,New York Branch 18,1689 Main Street,New York,NY,41647,+1-388-537-1662,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR019,San Diego Branch 19,8317 Main Street,San Diego,CA,84777,+1-538-358-5835,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR020,Los Angelas Branch 20,7999 Main Street,Los Angelas,IST,75068,+1-415-597-2347,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR021,Istanbul Branch 21,5391 Main Street,Istanbul,LA,25095,+1-225-546-4557,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR022,Columbus Branch 22,8856 Main Street,Columbus,OH,55701,+1-867-729-2818,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR023,Boston Branch 23,9822 Main Street,Boston,MA,63823,+1-634-609-3949,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
