branch_id,branch_name,address,city,state,postal_code,phone,hours,services
BR001,Columbus Branch 1,8317 Main Street,Columbus,OH,27653,+1-390-993-3290,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR002,Los Angeles Branch 2,7542 Main Street,Los Angeles,CA,77049,+1-786-984-2721,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR003,Detroit Branch 3,7148 Main Street,Detroit,MI,56584,+1-641-679-9508,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR004,Phoenix Branch 4,8293 Main Street,Phoenix,AZ,31631,+1-729-840-4071,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR005,Detroit Branch 5,4909 Main Street,Detroit,MI,13831,+1-405-836-8413,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR006,Charlotte Branch 6,4746 Main Street,Charlotte,NC,77115,+1-433-941-7835,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR007,Houston Branch 7,7727 Main Street,Houston,TX,20784,+1-930-617-3505,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR008,Phoenix Branch 8,2717 Main Street,Phoenix,AZ,94074,+1-882-535-1519,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR009,Philadelphia Branch 9,145 Main Street,Philadelphia,PA,44614,+1-844-194-2872,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR010,Phoenix Branch 10,5789 Main Street,Phoenix,AZ,85387,+1-871-121-3374,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR011,Boston Branch 11,8059 Main Street,Boston,MA,20017,+1-215-829-2597,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR012,Chicago Branch 12,7680 Main Street,Chicago,IL,27006,+1-312-353-3042,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR013,Austin Branch 13,6719 Main Street,Austin,TX,47163,+1-843-320-5961,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR014,Dallas Branch 14,6399 Main Street,Dallas,TX,51454,+1-395-807-5001,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR015,Philadelphia Branch 15,9365 Main Street,Philadelphia,PA,98679,+1-650-883-8287,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR016,Seattle Branch 16,9313 Main Street,Seattle,WA,47356,+1-824-526-1051,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR017,Houston Branch 17,9466 Main Street,Houston,TX,85917,+1-772-988-7832,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR018,San Jose Branch 18,4131 Main Street,San Jose,CA,73061,+1-217-907-5474,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR019,Austin Branch 19,6334 Main Street,Austin,TX,99242,+1-229-680-7646,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR020,Jacksonville Branch 20,2266 Main Street,Jacksonville,FL,24197,+1-353-181-2967,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR021,Philadelphia Branch 21,2504 Main Street,Philadelphia,PA,62622,+1-757-622-1851,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR022,Dallas Branch 22,844 Main Street,Dallas,TX,67780,+1-292-209-2411,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR023,Phoenix Branch 23,6835 Main Street,Phoenix,AZ,33785,+1-355-461-4441,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR024,Detroit Branch 24,6301 Main Street,Detroit,MI,44377,+1-990-459-2904,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR025,Boston Branch 25,5928 Main Street,Boston,MA,83255,+1-929-557-6471,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR026,Jacksonville Branch 26,2276 Main Street,Jacksonville,FL,40917,+1-383-969-7699,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR027,San Antonio Branch 27,3837 Main Street,San Antonio,TX,59789,+1-330-708-4671,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR028,San Antonio Branch 28,7968 Main Street,San Antonio,TX,80652,+1-794-330-4562,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR029,Jacksonville Branch 29,5473 Main Street,Jacksonville,FL,60607,+1-371-764-1373,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR030,Chicago Branch 30,8562 Main Street,Chicago,IL,69012,+1-372-759-1270,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR031,Columbus Branch 31,5359 Main Street,Columbus,OH,89353,+1-729-133-1748,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR032,Houston Branch 32,5146 Main Street,Houston,TX,86416,+1-716-503-1464,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR033,Phoenix Branch 33,6913 Main Street,Phoenix,AZ,98651,+1-661-179-3426,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR034,Dallas Branch 34,1084 Main Street,Dallas,TX,37375,+1-447-238-9598,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR035,Fort Worth Branch 35,8519 Main Street,Fort Worth,TX,30985,+1-946-141-1305,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR036,Detroit Branch 36,7443 Main Street,Detroit,MI,85429,+1-224-443-8285,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR037,San Jose Branch 37,3552 Main Street,San Jose,CA,42265,+1-507-468-3024,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR038,Seattle Branch 38,8999 Main Street,Seattle,WA,62389,+1-937-521-7853,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR039,Columbus Branch 39,507 Main Street,Columbus,OH,81412,+1-873-262-6723,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR040,Detroit Branch 40,6332 Main Street,Detroit,MI,10773,+1-656-151-4105,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR041,Seattle Branch 41,5209 Main Street,Seattle,WA,31138,+1-593-992-7373,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR042,Dallas Branch 42,5437 Main Street,Dallas,TX,62914,+1-219-867-6273,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR043,Phoenix Branch 43,6074 Main Street,Phoenix,AZ,97889,+1-447-530-1660,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR044,Charlotte Branch 44,3375 Main Street,Charlotte,NC,95491,+1-710-789-2724,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR045,Seattle Branch 45,5637 Main Street,Seattle,WA,62522,+1-477-144-4776,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR046,Houston Branch 46,9725 Main Street,Houston,TX,30305,+1-583-186-3024,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR047,San Antonio Branch 47,3929 Main Street,San Antonio,TX,40108,+1-993-639-6212,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR048,San Jose Branch 48,345 Main Street,San Jose,CA,82607,+1-925-985-6037,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR049,San Diego Branch 49,2008 Main Street,San Diego,CA,81162,+1-755-552-3276,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR050,New York Branch 50,5648 Main Street,New York,NY,85374,+1-759-713-6947,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
