transaction_id,account_id,amount,currency,transaction_type,error_code,error_message,attempted_date,merchant
FTXN0000051,ACC00000806,2721.44,USD,debit,E001,Insufficient funds,2026-09-18,Nike
FTXN0000052,ACC00000407,592.95,USD,debit,E001,Insufficient funds,2026-11-19,Shell Gas
FTXN0000053,ACC00000638,64.77,USD,debit,E004,Expired card,2026-12-14,Home Depot
FTXN0000054,ACC00000605,2266.78,USD,debit,E005,Fraud suspected,2026-01-10,Starbucks
FTXN0000055,ACC00000140,321.51,USD,debit,E004,Expired card,2026-06-05,Chipotle
FTXN0000056,ACC00000957,854.8,USD,debit,E005,Fraud suspected,2026-12-11,Trader Joes
FTXN0000057,ACC00000002,643.24,USD,debit,E001,Insufficient funds,2025-05-21,Walgreens
FTXN0000058,ACC00000042,221.76,USD,debit,E005,Fraud suspected,2026-03-07,Shell Gas
FTXN0000059,ACC00000055,1811.06,USD,debit,E003,Invalid PIN,2026-02-25,Whole Foods
FTXN0000060,ACC00000476,998.87,USD,debit,E001,Insufficient funds,2025-12-27,Airbnb
FTXN0000061,ACC00000762,1465.86,USD,debit,E002,Card declined,2026-02-09,Starbucks
FTXN0000062,ACC00000587,624.15,USD,debit,E002,Card declined,2026-10-06,Lyft
FTXN0000063,ACC00000524,1669.09,USD,debit,E002,Card declined,2025-02-08,Home Depot
FTXN0000064,ACC00001149,2623.03,USD,debit,E002,Card declined,2025-02-10,Chipotle
FTXN0000065,ACC00000592,2537.94,USD,debit,E003,Invalid PIN,2026-03-16,Uber
FTXN0000066,ACC00000235,2606.17,USD,debit,E004,Expired card,2025-04-01,Whole Foods
FTXN0000067,ACC00000410,892.92,USD,debit,E004,Expired card,2026-07-27,Home Depot
FTXN0000068,ACC00000628,456.87,USD,debit,E005,Fraud suspected,2025-05-15,Shell Gas
FTXN0000069,ACC00000022,1854.39,USD,debit,E005,Fraud suspected,2025-12-03,Starbucks
FTXN0000070,ACC00000441,1098.25,USD,debit,E004,Expired card,2025-12-04,Walgreens
FTXN0000071,ACC00000314,2352.69,USD,debit,E004,Expired card,2025-09-27,Walgreens
FTXN0000072,ACC00000087,1827.87,USD,debit,E003,Invalid PIN,2026-10-04,Apple Store
FTXN0000073,ACC00000660,1432.02,USD,debit,E004,Expired card,2025-06-24,Starbucks
FTXN0000074,ACC00000654,2243.5,USD,debit,E002,Card declined,2025-10-01,Nike
FTXN0000075,ACC00000244,692.23,USD,debit,E003,Invalid PIN,2026-05-20,Lyft
FTXN0000076,ACC00001045,2640.77,USD,debit,E002,Card declined,2025-11-20,Spotify
FTXN0000077,ACC00000493,1331.59,USD,debit,E001,Insufficient funds,2025-02-04,Starbucks
FTXN0000078,ACC00000213,1590.8,USD,debit,E004,Expired card,2025-09-14,Chipotle
FTXN0000079,ACC00000900,810.12,USD,debit,E002,Card declined,2025-05-10,Delta Airlines
FTXN0000080,ACC00001127,596.03,USD,debit,E001,Insufficient funds,2026-03-06,Home Depot
FTXN0000081,ACC00000105,955.41,USD,debit,E001,Insufficient funds,2025-08-29,Nike
FTXN0000082,ACC00001112,359.65,USD,debit,E003,Invalid PIN,2025-11-27,Chipotle
FTXN0000083,ACC00000501,1707.59,USD,debit,E003,Invalid PIN,2026-06-23,Apple Store
FTXN0000084,ACC00000149,1015.13,USD,debit,E002,Card declined,2025-06-08,Walgreens
FTXN0000085,ACC00000231,2059.54,USD,debit,E005,Fraud suspected,2025-10-05,Whole Foods
FTXN0000086,ACC00000587,1888.8,USD,debit,E004,Expired card,2026-09-22,Shell Gas
FTXN0000087,ACC00000665,2988.72,USD,debit,E004,Expired card,2025-02-05,Walgreens
FTXN0000088,ACC00001119,2593.21,USD,debit,E002,Card declined,2025-05-10,Home Depot
FTXN0000089,ACC00000812,961.3,USD,debit,E002,Card declined,2026-01-15,Whole Foods
FTXN0000090,ACC00000888,2790.62,USD,debit,E004,Expired card,2025-03-18,Netflix
FTXN0000091,ACC00000066,762.38,USD,debit,E003,Invalid PIN,2025-12-31,Trader Joes
FTXN0000092,ACC00000126,2422.69,USD,debit,E004,Expired card,2025-05-14,Walgreens
FTXN0000093,ACC00000726,2933.28,USD,debit,E003,Invalid PIN,2025-06-26,Airbnb
FTXN0000094,ACC00000088,726.88,USD,debit,E004,Expired card,2026-06-20,Starbucks
