investment_id,account_id,asset_type,symbol,quantity,purchase_price,current_price,current_value,purchase_date
INV000001,ACC00000112,etf,AGG,457.31,223.26,192.29,87936.14,2023-03-27
INV000002,ACC00000192,etf,JPM,6.99,300.92,398.47,2785.31,2021-01-30
INV000003,ACC00000252,bond,SPY,458.42,473.64,511.78,234610.19,2023-05-31
INV000004,ACC00000064,bond,FXAIX,268.81,102.02,72.61,19518.29,2020-11-10
INV000005,ACC00000523,mutual_fund,SPY,126.46,194.27,208.66,26387.14,2021-10-26
INV000006,ACC00000046,etf,MSFT,161.14,367.49,356.32,57417.4,2023-02-25
INV000007,ACC00000226,mutual_fund,JNJ,367.83,76.54,55.23,20315.25,2022-08-17
INV000008,ACC00000359,stock,NVDA,59.47,332.61,267.68,15918.93,2024-02-11
INV000009,ACC00000361,etf,JNJ,197.82,97.89,138.34,27366.42,2024-03-30
INV000010,ACC00000665,mutual_fund,GOOGL,108.49,77.12,88.59,9611.13,2021-08-29
INV000011,ACC00000407,bond,FXAIX,310.79,149.35,180.85,56206.37,2023-07-21
INV000012,ACC00000675,stock,VTI,123.5,482.98,637.48,78728.78,2020-06-02
INV000013,ACC00000267,etf,NVDA,242.72,113.86,123.65,30012.33,2021-04-15
INV000014,ACC00000740,bond,VFIAX,168.63,364.19,545.47,91982.61,2020-04-14
INV000015,ACC00000065,stock,FXAIX,482.48,337.54,414.39,199934.89,2023-04-02
INV000016,ACC00000550,etf,GOOGL,208.85,422.56,408.55,85325.67,2022-04-10
INV000017,ACC00000440,mutual_fund,TLT,100.8,409.5,540.6,54492.48,2023-02-17
INV000018,ACC00000285,stock,MSFT,422.87,164.6,169.14,71524.23,2022-04-18
INV000019,ACC00000327,stock,TLT,498.45,299.18,243.41,121327.71,2025-11-15
INV000020,ACC00000577,stock,AAPL,318.89,50.38,37.92,12092.31,2020-07-15
INV000021,ACC00000542,etf,FXAIX,295.14,204.6,270.73,79903.25,2025-07-31
INV000022,ACC00000672,stock,SPY,370.57,219.29,176.02,65227.73,2023-08-20
INV000023,ACC00000661,bond,JPM,287.27,227.87,282.67,81202.61,2022-05-31
INV000024,ACC00000775,stock,NVDA,253.96,446.68,500.9,127208.56,2022-01-27
INV000025,ACC00000452,etf,NVDA,284.75,104.82,98.3,27990.92,2025-07-11
INV000026,ACC00000249,etf,JPM,437.51,120.74,146.44,64068.96,2020-06-08
INV000027,ACC00000452,bond,IWM,438.91,407.76,321.35,141043.73,2023-11-28
INV000028,ACC00000177,mutual_fund,TLT,128.91,186.86,164.21,21168.31,2021-04-27
INV000029,ACC00000261,mutual_fund,TSLA,372.75,123.95,116.58,43455.19,2021-12-03
INV000030,ACC00000158,etf,VTI,57.0,88.6,110.13,6277.41,2025-04-28
INV000031,ACC00000284,stock,AGG,449.18,411.19,585.29,262900.56,2022-04-07
INV000032,ACC00000707,etf,MSFT,79.42,470.65,420.12,33365.93,2020-07-22
INV000033,ACC00000268,mutual_fund,FXAIX,310.32,389.3,282.59,87693.33,2024-06-20
INV000034,ACC00000017,bond,VTI,361.24,134.65,122.5,44251.9,2020-08-14
INV000035,ACC00000195,etf,FXAIX,375.23,302.04,389.38,146107.06,2021-06-20
INV000036,ACC00000650,etf,VFIAX,77.36,380.99,457.48,35390.65,2025-06-27
INV000037,ACC00000345,stock,MSFT,294.93,102.15,108.09,31878.98,2020-10-01
INV000038,ACC00000580,bond,JPM,23.81,85.87,86.65,2063.14,2025-05-05
INV000039,ACC00000257,stock,SPY,111.49,74.59,103.34,11521.38,2020-02-14
INV000040,ACC00000228,etf,AMZN,19.01,313.41,254.3,4834.24,2021-07-03
INV000041,ACC00000667,bond,AAPL,373.9,480.65,490.1,183248.39,2021-05-27
INV000042,ACC00000629,bond,V,320.33,282.52,385.81,123586.52,2021-08-29
INV000043,ACC00000181,mutual_fund,IWM,13.89,285.45,362.27,5031.93,2021-10-10
INV000044,ACC00000417,mutual_fund,TLT,454.92,150.8,158.2,71968.34,2024-06-01
INV000045,ACC00000534,etf,JPM,83.75,466.85,471.54,39491.47,2020-11-10
INV000046,ACC00000417,mutual_fund,QQQ,92.64,364.57,517.3,47922.67,2024-05-19
INV000047,ACC00000335,etf,NVDA,67.15,200.52,141.23,9483.59,2022-01-25
INV000048,ACC00000220,mutual_fund,GOOGL,305.53,477.23,479.29,146437.47,2021-11-23
INV000049,ACC00000397,stock,NVDA,319.56,155.25,163.96,52395.06,2022-07-19
INV000050,ACC00000178,mutual_fund,FXAIX,97.22,341.6,327.72,31860.94,2025-07-03
INV000051,ACC00000403,bond,IWM,352.46,476.62,654.39,230646.3,2024-01-18
INV000052,ACC00000059,mutual_fund,TLT,428.84,95.12,95.92,41134.33,2024-04-18
INV000053,ACC00000717,bond,TLT,425.17,446.04,458.66,195008.47,2025-03-27
INV000054,ACC00000175,etf,META,406.52,155.22,129.85,52786.62,2024-02-25
INV000055,ACC00000001,mutual_fund,VTI,381.93,344.36,432.17,165058.69,2024-05-02
INV000056,ACC00000723,bond,IWM,313.23,435.2,409.48,128261.42,2023-12-31
INV000057,ACC00000472,bond,AGG,195.94,88.26,123.62,24222.1,2023-04-06
INV000058,ACC00000001,stock,IWM,209.13,135.48,172.67,36110.48,2020-06-11
INV000059,ACC00000624,etf,IWM,467.68,64.23,91.37,42731.92,2020-09-11
INV000060,ACC00000770,mutual_fund,FXAIX,402.22,424.15,567.93,228432.8,2021-09-06
INV000061,ACC00000479,mutual_fund,AGG,201.92,255.68,264.82,53472.45,2023-03-17
INV000062,ACC00000196,stock,TLT,396.75,370.25,307.38,121953.01,2021-10-05
INV000063,ACC00000789,stock,MSFT,264.19,366.49,258.22,68219.14,2023-01-29
INV000064,ACC00000262,mutual_fund,VFIAX,340.46,446.73,485.98,165456.75,2020-04-03
INV000065,ACC00000109,etf,JPM,370.7,327.32,453.94,168275.56,2024-08-21
INV000066,ACC00000324,stock,VTI,304.59,166.45,175.78,53540.83,2025-08-30
INV000067,ACC00000242,mutual_fund,QQQ,431.38,98.63,127.85,55151.93,2022-08-04
INV000068,ACC00000375,stock,GOOGL,219.9,128.85,184.69,40613.33,2021-05-17
INV000069,ACC00000606,mutual_fund,NVDA,98.27,61.89,76.48,7515.69,2022-12-23
INV000070,ACC00000227,bond,NVDA,78.8,209.98,174.56,13755.33,2025-09-25
INV000071,ACC00000162,mutual_fund,IWM,450.64,197.55,295.64,133227.21,2025-12-25
INV000072,ACC00000504,mutual_fund,NVDA,202.15,181.72,271.53,54889.79,2025-11-16
INV000073,ACC00000772,stock,JPM,466.49,329.13,422.78,197222.64,2021-09-18
INV000074,ACC00000288,bond,TSLA,44.19,192.33,280.57,12398.39,2021-08-22
INV000075,ACC00000488,etf,FXAIX,482.32,407.06,316.27,152543.35,2024-03-24
INV000076,ACC00000058,etf,FXAIX,140.08,438.64,522.46,73186.2,2022-01-03
INV000077,ACC00000073,bond,V,294.87,492.05,351.41,103620.27,2024-11-14
INV000078,ACC00000537,etf,BND,143.48,296.73,399.93,57381.96,2021-12-31
INV000079,ACC00000034,bond,JPM,96.64,446.95,329.2,31813.89,2023-03-16
INV000080,ACC00000593,etf,V,53.89,254.01,379.23,20436.7,2023-02-13
INV000081,ACC00000490,mutual_fund,TLT,129.35,194.45,147.79,19116.64,2023-09-20
INV000082,ACC00000280,etf,QQQ,264.9,372.14,408.39,108182.51,2025-03-17
INV000083,ACC00000544,mutual_fund,META,458.22,99.88,113.74,52117.94,2023-06-10
INV000084,ACC00000638,stock,BND,91.79,151.54,107.69,9884.87,2024-04-18
INV000085,ACC00000514,bond,SPY,253.78,444.99,533.7,135442.39,2024-03-24
INV000086,ACC00000738,etf,TSLA,55.06,223.53,215.18,11847.81,2021-07-31
INV000087,ACC00000209,bond,JPM,477.24,80.37,115.42,55083.04,2021-05-22
INV000088,ACC00000203,etf,META,248.01,344.44,336.76,83519.85,2025-05-08
INV000089,ACC00000541,bond,TLT,407.64,203.0,197.74,80606.73,2021-06-16
INV000090,ACC00000565,mutual_fund,AMZN,291.34,222.15,287.74,83830.17,2024-12-30
INV000091,ACC00000236,stock,BND,404.32,221.82,186.01,75207.56,2022-01-17
INV000092,ACC00000208,bond,BND,187.19,214.31,316.61,59266.23,2024-10-11
INV000093,ACC00000529,stock,MSFT,324.17,52.38,66.69,21618.9,2023-03-14
INV000094,ACC00000407,stock,FXAIX,166.37,383.43,339.3,56449.34,2024-11-07
INV000095,ACC00000538,bond,TLT,140.6,106.06,109.92,15454.75,2020-02-25
INV000096,ACC00000073,stock,IWM,95.47,275.94,266.56,25448.48,2023-10-03
INV000097,ACC00000531,mutual_fund,AMZN,424.97,293.73,302.48,128544.93,2023-12-02
INV000098,ACC00000497,etf,VFIAX,56.68,427.72,373.56,21173.38,2024-12-03
INV000099,ACC00000784,bond,QQQ,491.94,118.58,109.81,54019.93,2020-10-19
INV000100,ACC00000355,mutual_fund,V,335.33,142.56,208.1,69782.17,2020-03-21
