atm_id,branch_id,address,city,latitude,longitude,available_24h,withdrawal_fee,deposit_enabled,status
ATM0001,BR046,5328 Hernandez Ave,Columbus,36.572273,-82.849064,0,3.5,0,operational
ATM0002,BR036,8060 Martin Ave,Seattle,25.926754,-121.814971,0,3.0,0,operational
ATM0003,BR039,7706 Martinez Ave,Dallas,36.001497,-102.656487,1,3.5,0,operational
ATM0004,,8004 Brown Ave,Charlotte,32.872426,-90.658888,0,3.5,1,operational
ATM0005,BR007,5384 Smith Ave,Columbus,39.912056,-80.257416,1,2.5,1,operational
ATM0006,BR022,4982 Thomas Ave,Denver,47.124486,-104.459518,0,0,0,operational
ATM0007,BR023,2780 Gonzalez Ave,New York,36.156776,-111.423946,0,3.5,1,maintenance
ATM0008,BR045,6801 Martin Ave,Boston,40.842834,-98.701931,0,3.0,1,operational
ATM0009,BR016,719 Williams Ave,Dallas,44.954987,-86.782246,1,2.5,0,operational
ATM0010,BR049,7316 Lopez Ave,Portland,34.437384,-108.422153,1,3.0,0,maintenance
ATM0011,BR039,9458 Jackson Ave,Austin,46.170781,-77.132407,0,3.0,1,operational
ATM0012,BR015,4805 Williams Ave,Columbus,31.825481,-113.347723,0,0,0,operational
ATM0013,,8875 Miller Ave,San Diego,36.552688,-87.263692,0,2.5,1,operational
ATM0014,BR001,6628 Brown Ave,Houston,41.067714,-121.656904,0,0,1,maintenance
ATM0015,,1674 Davis Ave,Los Angeles,46.838045,-104.231869,0,2.5,0,operational
ATM0016,BR046,1855 Thompson Ave,Jacksonville,31.943665,-110.691225,0,3.5,0,operational
ATM0017,BR039,7945 Moore Ave,Boston,29.488533,-94.461777,0,3.0,1,operational
ATM0018,BR019,8794 Wilson Ave,New York,29.651533,-97.2128,1,3.0,0,operational
ATM0019,BR032,4136 White Ave,Philadelphia,29.192767,-74.751359,0,3.0,1,offline
ATM0020,BR015,3500 Taylor Ave,Columbus,31.255841,-76.866046,0,3.0,0,operational
ATM0021,,4976 Lopez Ave,New York,31.688807,-73.868344,0,0,1,operational
ATM0022,BR007,5201 Taylor Ave,Fort Worth,42.489181,-112.41925,0,0,0,offline
ATM0023,BR037,5474 Jackson Ave,New York,35.215608,-106.3157,1,0,0,operational
ATM0024,BR037,731 Thompson Ave,Seattle,31.80181,-95.301393,1,3.5,0,operational
ATM0025,BR050,4123 Davis Ave,Charlotte,37.283539,-98.466703,0,3.5,1,operational
ATM0026,BR048,3655 Smith Ave,Columbus,30.536507,-75.038939,0,3.0,0,maintenance
ATM0027,BR044,8175 Jackson Ave,Austin,27.767026,-77.412179,0,3.0,1,operational
ATM0028,,8923 Brown Ave,Charlotte,28.927952,-105.196424,1,3.5,0,operational
ATM0029,BR044,7647 Hernandez Ave,Philadelphia,28.567442,-110.384678,1,2.5,1,operational
ATM0030,BR040,7514 Davis Ave,Jacksonville,39.455789,-85.115871,1,2.5,0,operational
ATM0031,,4077 White Ave,San Jose,27.146757,-84.839972,0,2.5,0,operational
ATM0032,,1033 Martinez Ave,New York,30.442017,-71.305634,0,2.5,1,operational
ATM0033,BR032,869 Lee Ave,Austin,44.844734,-87.825872,0,3.0,0,offline
ATM0034,,3450 White Ave,Los Angeles,46.35683,-73.004764,0,3.5,1,operational
ATM0035,BR039,5320 Lee Ave,San Antonio,38.341218,-71.59014,1,3.5,0,operational
ATM0036,BR007,6793 Lopez Ave,San Jose,26.304104,-89.921917,0,3.0,0,maintenance
ATM0037,BR048,567 White Ave,Columbus,45.433287,-79.195716,0,3.5,1,operational
ATM0038,,2585 Brown Ave,Houston,30.742235,-91.887007,0,3.5,1,operational
ATM0039,BR016,8379 Williams Ave,Austin,41.383453,-111.211172,1,3.0,1,operational
ATM0040,BR022,5640 Rodriguez Ave,Detroit,33.905565,-79.620682,0,2.5,0,operational
ATM0041,BR019,4225 Moore Ave,Charlotte,36.719242,-75.832343,1,3.0,1,operational
ATM0042,BR008,4695 Anderson Ave,Denver,28.404146,-86.002087,1,3.5,0,maintenance
ATM0043,,1930 Taylor Ave,Houston,42.309308,-118.503343,1,2.5,1,operational
ATM0044,BR038,1015 Martin Ave,Jacksonville,41.189621,-91.995369,1,2.5,0,operational
ATM0045,BR001,9188 Hernandez Ave,San Antonio,28.970171,-109.623324,0,2.5,0,operational
ATM0046,BR044,5992 Lee Ave,Columbus,44.898295,-95.402851,1,2.5,0,operational
ATM0047,BR023,4594 Thomas Ave,Jacksonville,34.403785,-99.60441,0,0,1,operational
ATM0048,BR026,4438 Jones Ave,Dallas,25.403435,-101.010616,1,0,1,operational
ATM0049,,5621 Hernandez Ave,Phoenix,26.200748,-111.696122,0,2.5,0,operational
ATM0050,,8741 Taylor Ave,Austin,41.488642,-82.144418,1,0,1,operational
ATM0051,BR007,6919 White Ave,San Diego,45.614287,-97.840947,1,0,1,operational
ATM0052,BR012,1959 Davis Ave,Chicago,36.656852,-89.348121,0,2.5,0,operational
ATM0053,,980 Miller Ave,Chicago,28.374396,-121.842977,1,3.5,0,operational
ATM0054,,4477 Johnson Ave,Phoenix,43.74366,-84.555954,1,3.5,0,offline
ATM0055,BR004,4300 Thomas Ave,New York,33.976114,-92.418066,0,2.5,1,operational
ATM0056,BR026,4325 Jones Ave,Dallas,43.868848,-102.494676,1,2.5,0,operational
ATM0057,BR040,5157 Williams Ave,Phoenix,40.052248,-82.91953,1,2.5,0,operational
ATM0058,,806 Gonzalez Ave,Houston,32.478535,-95.063123,0,3.0,0,offline
ATM0059,,2468 Johnson Ave,Phoenix,27.3781,-117.470653,0,2.5,0,operational
ATM0060,,2487 Brown Ave,Detroit,28.506679,-98.517834,1,3.5,0,operational
ATM0061,BR003,9993 Martin Ave,San Diego,33.230988,-102.273849,0,2.5,1,operational
ATM0062,,3068 Martinez Ave,Denver,39.643198,-108.259827,0,3.0,1,operational
ATM0063,BR006,8684 Martin Ave,Charlotte,45.856401,-116.920017,1,3.0,0,maintenance
ATM0064,,6574 Lee Ave,San Diego,46.641878,-73.381148,0,3.5,0,operational
ATM0065,BR038,4436 Smith Ave,San Antonio,30.993751,-79.360876,1,3.5,1,operational
